City,State,Latitude,Longitude
St Petersburg,FL,27.771,-82.637
Lubbock,TX,33.585,-101.846
Irving,TX,32.814,-96.946
Laredo,TX,27.506,-99.503
Winston Salem,NC,36.095,-80.244
Chesapeake,VA,36.809,-76.271
Glendale,AZ,33.539,-112.186
Garland,TX,32.913,-96.639
Scottsdale,AZ,33.495,-111.926
Norfolk,VA,36.848,-76.292
Boise,ID,43.615,-116.202
Fremont,CA,37.549,-121.988
Spokane,WA,47.657,-117.418
Santa Clarita,CA,34.38,-118.541
Baton Rouge,LA,30.443,-91.184
Richmond,VA,37.546,-77.453
Hialeah,FL,25.846,-80.268
San Bernardino,CA,34.106,-117.292
Tacoma,WA,47.253,-122.44
Modesto,CA,37.639,-120.997
Huntsville,AL,34.73,-86.586
Des Moines,IA,41.587,-93.626
Yonkers,NY,40.932,-73.899
Rochester,NY,43.156,-77.613
Moreno Valley,CA,33.936,-117.229
Fayetteville,NC,35.053,-78.878
Fontana,CA,34.101,-117.436
Columbus,GA,32.469,-84.988
Worcester,MA,42.263,-71.802
Port St Lucie,FL,27.276,-80.355
Little Rock,AR,34.747,-92.288
Augusta,GA,33.476,-81.966
Oxnard,CA,34.198,-119.177
Birmingham,AL,33.514,-86.806
Montgomery,AL,32.378,-86.301
Frisco,TX,33.151,-96.825
Amarillo,TX,35.207,-101.836
Salt Lake City,UT,40.769,-111.891
Grand Rapids,MI,42.963,-85.668
Huntington Beach,CA,33.659,-118
Overland Park,KS,38.986,-94.668
Glendale,CA,34.143,-118.258
Tallahassee,FL,30.438,-84.282
Grand Prairie,TX,32.745,-97.004
McKinney,TX,33.197,-96.616
Cape Coral,FL,26.563,-81.95
Sioux Falls,SD,43.547,-96.727
Peoria,AZ,33.582,-112.238
Providence,RI,41.824,-71.413
Vancouver,WA,45.63,-122.677
Knoxville,TN,35.962,-83.918
Akron,OH,41.085,-81.517
Shreveport,LA,32.514,-93.748
Mobile,AL,30.691,-88.046
Brownsville,TX,25.902,-97.498
Newport News,VA,36.98,-76.431
Fort Lauderdale,FL,26.119,-80.143
Chattanooga,TN,35.05,-85.31
Tempe,AZ,33.415,-111.909
Aurora,IL,41.758,-88.315
Santa Rosa,CA,38.44,-122.713
Eugene,OR,44.05,-123.093
Elk Grove,CA,38.409,-121.371
Salem,OR,44.939,-123.032
Ontario,CA,34.063,-117.651
Cary,NC,35.787,-78.783
Rancho Cucamonga,CA,34.107,-117.594
Oceanside,CA,33.195,-117.384
Lancaster,CA,34.697,-118.148
Garden Grove,CA,33.775,-117.941
Pembroke Pines,FL,26.002,-80.223
Fort Collins,CO,40.587,-105.077
Palmdale,CA,34.58,-118.117
Springfield,MO,37.209,-93.292
Clarksville,TN,36.528,-87.361
Salinas,CA,36.678,-121.655
Hayward,CA,37.671,-122.085
Paterson,NJ,40.917,-74.172
Alexandria,VA,38.805,-77.047
Macon,GA,32.838,-83.628
Corona,CA,33.876,-117.567
Kansas City,KS,39.116,-94.627
Lakewood,CO,39.705,-105.081
Springfield,MA,42.101,-72.589
Sunnyvale,CA,37.369,-122.037
Jackson,MS,32.3,-90.186
Killeen,TX,31.117,-97.73
Hollywood,FL,26.011,-80.149
Murfreesboro,TN,35.846,-86.392
Pasadena,TX,29.691,-95.209
Bellevue,WA,47.617,-122.202
Pomona,CA,34.059,-117.752
Escondido,CA,33.122,-117.081
Joliet,IL,41.525,-88.082
Charleston,SC,32.776,-79.931
Mesquite,TX,32.767,-96.599
Naperville,IL,41.774,-88.148
Rockford,IL,42.271,-89.095
Bridgeport,CT,41.198,-73.194
Syracuse,NY,43.047,-76.149
Savannah,GA,32.079,-81.091
Roseville,CA,38.752,-121.288
Torrance,CA,33.836,-118.34
Fullerton,CA,33.87,-117.924
Surprise,AZ,33.63,-112.377
McAllen,TX,26.203,-98.231
Thornton,CO,39.871,-104.972
Visalia,CA,36.33,-119.292
Olathe,KS,38.882,-94.82
Gainesville,FL,29.652,-82.325
West Valley City,UT,40.697,-111.996
Orange,CA,33.788,-117.853
Denton,TX,33.215,-97.132
Warren,MI,42.492,-83.028
Pasadena,CA,34.148,-118.143
Waco,TX,31.557,-97.132
Cedar Rapids,IA,41.978,-91.664
Dayton,OH,39.758,-84.191
Elizabeth,NJ,40.665,-74.215
Hampton,VA,37.026,-76.344
Columbia,SC,34.001,-81.034
Kent,WA,47.381,-122.231
Stamford,CT,41.124,-73.567
Lakewood,NJ,40.076,-74.199
Victorville,CA,34.537,-117.294
Miramar,FL,25.987,-80.238
Coral Springs,FL,26.273,-80.266
Sterling Heights,MI,42.58,-83.03
New Haven,CT,41.313,-72.931
Carrollton,TX,32.954,-96.89
Midland,TX,31.998,-102.074
Norman,OK,35.221,-97.443
Santa Clara,CA,37.354,-121.954
Athens,GA,33.958,-83.375
Thousand Oaks,CA,34.175,-118.845
Topeka,KS,39.05,-95.677
Simi Valley,CA,34.272,-118.779
Columbia,MO,38.952,-92.329
Vallejo,CA,38.101,-122.255
Fargo,ND,46.874,-96.788
Allentown,PA,40.602,-75.472
Pearland,TX,29.564,-95.286
Concord,CA,37.977,-122.034
Abilene,TX,32.449,-99.733
Arvada,CO,39.802,-105.081
Berkeley,CA,37.871,-122.268
Ann Arbor,MI,42.281,-83.748
Independence,MO,39.092,-94.416
Rochester,MN,44.023,-92.463
Lafayette,LA,30.223,-92.02
Hartford,CT,41.761,-72.689
College Station,TX,30.628,-96.335
Clovis,CA,36.825,-119.7
Fairfield,CA,38.249,-122.04
Palm Bay,FL,28.035,-80.622
Richardson,TX,32.949,-96.732
Round Rock,TX,30.509,-97.679
Cambridge,MA,42.376,-71.117
Meridian,ID,43.605,-116.392
West Palm Beach,FL,26.713,-80.052
Evansville,IN,37.97,-87.574
Clearwater,FL,27.966,-82.8
Billings,MT,45.783,-108.507
West Jordan,UT,40.61,-111.939
Richmond,CA,37.936,-122.348
Westminster,CO,39.835,-105.034
Manchester,NH,42.991,-71.463
Lowell,MA,42.645,-71.313
Wilmington,NC,34.235,-77.949
Antioch,CA,38.005,-121.806
Beaumont,TX,30.082,-94.098
Provo,UT,40.234,-111.659
North Charleston,SC,32.854,-79.974
Elgin,IL,42.037,-88.284
Carlsbad,CA,33.158,-117.351
Odessa,TX,31.848,-102.369
Waterbury,CT,41.554,-73.043
Springfield,IL,39.801,-89.655
League City,TX,29.508,-95.095
Downey,CA,33.94,-118.133
Gresham,OR,45.498,-122.431
High Point,NC,35.957,-80.006
Broken Arrow,OK,36.052,-95.791
Peoria,IL,40.693,-89.591
Lansing,MI,42.734,-84.552
Lakeland,FL,28.045,-81.956
Pompano Beach,FL,26.232,-80.126
Costa Mesa,CA,33.641,-117.919
Pueblo,CO,38.256,-104.624
Lewisville,TX,33.046,-96.994
Miami Gardens,FL,25.941,-80.245
Las Cruces,NM,32.31,-106.779
Sugar Land,TX,29.595,-95.621
Murrieta,CA,33.554,-117.214
Ventura,CA,34.281,-119.301
Everett,WA,47.979,-122.202
Temecula,CA,33.493,-117.149
Dearborn,MI,42.322,-83.176
Santa Maria,CA,34.953,-120.436
West Covina,CA,34.069,-117.938
El Monte,CA,34.073,-118.032
Greeley,CO,40.425,-104.694
Sparks,NV,39.535,-119.753
Centennial,CO,39.586,-104.885
Boulder,CO,40.018,-105.278
Sandy Springs,GA,33.925,-84.379
Inglewood,CA,33.962,-118.352
Edison,NJ,40.512,-74.387
South Fulton,GA,33.657,-84.573
Green Bay,WI,44.516,-88.008
Burbank,CA,34.182,-118.31
Renton,WA,47.48,-122.208
Hillsboro,OR,45.523,-122.99
El Cajon,CA,32.795,-116.962
Tyler,TX,32.351,-95.301
Davie,FL,26.073,-80.232
San Mateo,CA,37.564,-122.324
Brockton,MA,42.083,-71.02
Concord,NC,35.411,-80.581
Jurupa Valley,CA,33.999,-117.475
Daly City,CA,37.706,-122.462
Allen,TX,33.103,-96.67
Rio Rancho,NM,35.241,-106.656
Rialto,CA,34.099,-117.37
Woodbridge,NJ,40.564,-74.301
South Bend,IN,41.676,-86.252
Spokane Valley,WA,47.657,-117.24
Norwalk,CA,33.902,-118.083
Menifee,CA,33.685,-117.189
Vacaville,CA,38.357,-121.986
Wichita Falls,TX,33.912,-98.492
Davenport,IA,41.522,-90.576
Quincy,MA,42.252,-71.004
Chico,CA,39.728,-121.839
Lynn,MA,42.464,-70.951
Lees Summit,MO,38.912,-94.378
New Bedford,MA,41.635,-70.926
Federal Way,WA,47.315,-122.313
Clinton,MI,42.591,-82.936
Edinburg,TX,26.301,-98.162
Nampa,ID,43.579,-116.562
Roanoke,VA,37.272,-79.939
Kenosha,WI,42.584,-87.823
San Angelo,TX,31.464,-100.437
Hesperia,CA,34.422,-117.302
Carmel,IN,39.978,-86.127
Tuscaloosa,AL,33.206,-87.567
Albany,NY,42.653,-73.758
Bend,OR,44.058,-121.313
Fishers,IN,39.957,-86.017
Longmont,CO,40.167,-105.103
Canton,MI,42.307,-83.487
Vista,CA,33.202,-117.244
Orem,UT,40.297,-111.695
Portsmouth,VA,36.835,-76.299
Beaverton,OR,45.487,-122.804
Boca Raton,FL,26.351,-80.086
Sunrise,FL,26.17,-80.284
Yakima,WA,46.602,-120.506
Sandy,UT,40.573,-111.853
Compton,CA,33.896,-118.22
Carson,CA,33.832,-118.278
Yuma,AZ,32.713,-114.625
Livonia,MI,42.376,-83.353
Toms River,NJ,39.991,-74.191
St George,UT,37.108,-113.583
Goodyear,AZ,33.435,-112.409
Reading,PA,40.335,-75.928
Lawrence,KS,38.971,-95.236
San Marcos,CA,33.141,-117.166
Erie,PA,42.129,-80.085
Asheville,NC,35.595,-82.552
Edmond,OK,35.655,-97.481
Suffolk,VA,36.73,-76.583
Fall River,MA,41.702,-71.155
Fayetteville,AR,36.063,-94.161
Deltona,FL,28.901,-81.263
Mission Viejo,CA,33.597,-117.669
Redding,CA,40.586,-122.39
Santa Monica,CA,34.019,-118.491
Tracy,CA,37.74,-121.426
Roswell,GA,34.022,-84.359
South Gate,CA,33.955,-118.212
Hoover,AL,33.4,-86.806
Hamilton,NJ,40.222,-74.686
Kirkland,WA,47.675,-122.203
Plantation,FL,26.121,-80.252
Buckeye,AZ,33.371,-112.583
Bellingham,WA,48.75,-122.479
Chino,CA,34.012,-117.689
Nashua,NH,42.765,-71.468
OFallon,MO,38.811,-90.7
Norwalk,CT,41.13,-73.429
San Leandro,CA,37.723,-122.154
Westminster,CA,33.759,-118.007
Trenton,NJ,40.22,-74.766
Mount Pleasant,SC,32.792,-79.872
New Braunfels,TX,29.703,-98.125
Lawton,OK,34.605,-98.392
Clifton,NJ,40.867,-74.154
Bloomington,MN,44.841,-93.298
Conroe,TX,30.312,-95.458
Hemet,CA,33.748,-116.972
Avondale,AZ,33.435,-112.35
Waukegan,IL,42.36,-87.831
Palm Coast,FL,29.555,-81.211
Lawrence,MA,42.708,-71.162
Fort Smith,AR,35.383,-94.421
Indio,CA,33.719,-116.216
Newton,MA,42.337,-71.208
Santa Barbara,CA,34.421,-119.702
Champaign,IL,40.116,-88.243
Hawthorne,CA,33.916,-118.353
Livermore,CA,37.682,-121.768
Citrus Heights,CA,38.707,-121.29
Greenville,NC,35.611,-77.373
Santa Fe,NM,35.687,-105.939
Ogden,UT,41.221,-111.972
Whittier,CA,33.979,-118.033
Troy,MI,42.606,-83.15
Auburn,WA,47.307,-122.229
Deerfield Beach,FL,26.319,-80.101
Duluth,MN,46.788,-92.099
Danbury,CT,41.408,-73.468
Brooklyn Park,MN,45.094,-93.356
Fort Myers,FL,26.643,-81.87
Merced,CA,37.302,-120.485
Lake Forest,CA,33.647,-117.686
Medford,OR,42.327,-122.872
Sioux City,IA,42.494,-96.403
Mission,TX,26.216,-98.326
Westland,MI,42.324,-83.399
Cicero,IL,41.846,-87.754
Newport Beach,CA,33.619,-117.929
Lake Charles,LA,30.229,-93.217
Melbourne,FL,28.08,-80.604
San Ramon,CA,37.776,-121.978
Redwood City,CA,37.484,-122.226
Springdale,AR,36.185,-94.129
Buena Park,CA,33.868,-117.998
Farmington Hills,MI,42.499,-83.378
Bryan,TX,30.674,-96.373
Kennewick,WA,46.209,-119.117
Baytown,TX,29.735,-94.978
Manteca,CA,37.797,-121.216
Franklin,TN,35.925,-86.869
Cranston,RI,41.779,-71.437
Miami Beach,FL,25.791,-80.13
Alhambra,CA,34.095,-118.127
Warwick,RI,41.699,-71.46
Lakewood,CA,33.854,-118.142
Largo,FL,27.909,-82.788
Johns Creek,GA,34.046,-84.223
Mountain View,CA,37.39,-122.081
Temple,TX,31.097,-97.343
Layton,UT,41.06,-111.966
Longview,TX,32.495,-94.74
Flint,MI,43.017,-83.691
Parma,OH,41.405,-81.723
Somerville,MA,42.388,-71.103
Plymouth,MN,45.015,-93.472
Homestead,FL,25.47,-80.477
Folsom,CA,38.678,-121.176
Gastonia,NC,35.264,-81.184
Boynton Beach,FL,26.529,-80.064
Warner Robins,GA,32.618,-83.633
Tustin,CA,33.746,-117.825
Milpitas,CA,37.431,-121.907
Pleasanton,CA,37.663,-121.875
New Rochelle,NY,40.907,-73.784
Pharr,TX,26.195,-98.184
Shelby,MI,42.674,-83.04
Rancho Cordova,CA,38.592,-121.297
Napa,CA,38.298,-122.289
Kissimmee,FL,28.292,-81.408
Bellflower,CA,33.882,-118.125
Bloomington,IN,39.167,-86.535
Upland,CA,34.094,-117.651
Lynchburg,VA,37.415,-79.142
Schaumburg,IL,42.027,-88.08
Perris,CA,33.782,-117.229
Bloomington,IL,40.479,-88.994
Jonesboro,AR,35.842,-90.705
Chino Hills,CA,33.977,-117.72
Alameda,CA,37.764,-122.243
Frederick,MD,39.414,-77.411
Evanston,IL,42.041,-87.69
Hammond,IN,41.585,-87.481
Racine,WI,42.727,-87.783
Arlington Heights,IL,42.083,-87.983
Cedar Park,TX,30.51,-97.823
South Jordan,UT,40.562,-111.929
Pasco,WA,46.231,-119.092
Flagstaff,AZ,35.198,-111.648
Southfield,MI,42.473,-83.221
Wyoming,MI,42.914,-85.705
Pittsburg,CA,38.025,-121.886
Loveland,CO,40.395,-105.074
Scranton,PA,41.409,-75.662
Rochester Hills,MI,42.652,-83.153
Auburn,AL,32.607,-85.482
Flower Mound,TX,33.014,-97.071
Lehi,UT,40.388,-111.849
Doral,FL,25.812,-80.353
Apple Valley,CA,34.501,-117.19
Bethlehem,PA,40.622,-75.375
Appleton,WI,44.262,-88.407
Pawtucket,RI,41.877,-71.384
Woodbury,MN,44.925,-92.96
Iowa City,IA,41.661,-91.535
North Port,FL,27.044,-82.236
Rapid City,SD,44.081,-103.227
Cherry Hill,NJ,39.892,-74.986
Lauderhill,FL,26.15,-80.212
Rock Hill,SC,34.925,-81.025
Missouri City,TX,29.596,-95.527
New Britain,CT,41.676,-72.785
Broomfield,CO,39.925,-105.053
Bolingbrook,IL,41.698,-88.068
Mount Vernon,NY,40.913,-73.837
Bismarck,ND,46.805,-100.788
Brick,NJ,40.058,-74.121
Kalamazoo,MI,42.292,-85.583
Missoula,MT,46.872,-113.994
Redmond,WA,47.674,-122.122
Redlands,CA,34.057,-117.183
Castle Rock,CO,39.372,-104.856
Gulfport,MS,30.369,-89.093
Turlock,CA,37.495,-120.845
Jacksonville,NC,34.751,-77.431
Daytona Beach,FL,29.211,-81.023
Mansfield,TX,32.563,-97.142
Dublin,CA,37.706,-121.924
St Joseph,MO,39.767,-94.853
Framingham,MA,42.31,-71.441
Bowling Green,KY,36.995,-86.443
Baldwin Park,CA,34.086,-117.965
Tamarac,FL,26.208,-80.269
Harlingen,TX,26.193,-97.697
Camden,NJ,39.944,-75.119
Bayonne,NJ,40.666,-74.117
Rocklin,CA,38.791,-121.236
Redondo Beach,CA,33.844,-118.388
Waukesha,WI,43.012,-88.232
Dothan,AL,31.224,-85.392
Johnson City,TN,36.316,-82.353
Wilmington,DE,39.738,-75.553
Canton,OH,40.798,-81.375
Lafayette,IN,40.419,-86.893
Camarillo,CA,34.217,-119.039
Greenville,SC,34.851,-82.399
Marysville,WA,48.052,-122.177
Waterford,MI,42.66,-83.389
Passaic,NJ,40.863,-74.127
Decatur,IL,39.843,-88.954
St Charles,MO,38.782,-90.481
Lake Elsinore,CA,33.668,-117.328
Maple Grove,MN,45.072,-93.456
Blaine,MN,45.161,-93.235
Union City,CA,37.595,-122.019
Walnut Creek,CA,37.897,-122.06
Yuba City,CA,39.141,-121.618
North Richland Hills,TX,32.839,-97.228
Rogers,AR,36.333,-94.116
Eastvale,CA,33.962,-117.579
Gaithersburg,MD,39.144,-77.202
Albany,GA,31.577,-84.156
East Orange,NJ,40.761,-74.211
Noblesville,IN,40.046,-86.014
Lakeville,MN,44.65,-93.243
Eau Claire,WI,44.811,-91.498
Gary,IN,41.6,-87.337
St Cloud,MN,45.56,-94.162
Tulare,CA,36.208,-119.347
Eagan,MN,44.805,-93.167
West Des Moines,IA,41.571,-93.709
Union City,NJ,40.779,-74.024
Palo Alto,CA,37.445,-122.162
Portland,ME,43.659,-70.257
Franklin,NJ,40.499,-74.533
Yorba Linda,CA,33.889,-117.813
Jackson,TN,35.614,-88.819
Weston,FL,26.1,-80.383
Palatine,IL,42.11,-88.034
Ankeny,IA,41.732,-93.6
Skokie,IL,42.034,-87.747
Haverhill,MA,42.777,-71.077
San Marcos,TX,29.883,-97.941
Sammamish,WA,47.602,-122.035
Waterloo,IA,42.498,-92.336
Shawnee,KS,39.014,-94.742
Lynwood,CA,33.93,-118.212
Georgetown,TX,30.633,-97.677
Rockville,MD,39.084,-77.153
Middletown,NJ,40.392,-74.099
Schenectady,NY,42.812,-73.939
Old Bridge,NJ,40.395,-74.324
Davis,CA,38.543,-121.74
Delray Beach,FL,26.462,-80.073
Oshkosh,WI,44.018,-88.538
Kenner,LA,29.994,-90.242
Ames,IA,42.023,-93.62
Lodi,CA,38.13,-121.272
Malden,MA,42.426,-71.067
Novi,MI,42.481,-83.476
Madera,CA,36.961,-120.061
South San Francisco,CA,37.655,-122.41
Gloucester,NJ,39.807,-75.049
West Bloomfield,MI,42.55,-83.409
Alpharetta,GA,34.076,-84.295
Janesville,WI,42.683,-89.023
Grand Junction,CO,39.067,-108.564
Victoria,TX,28.799,-97.006
Utica,NY,43.101,-75.233
Waltham,MA,42.375,-71.236
Lorain,OH,41.466,-82.175
Muncie,IN,40.194,-85.386
Pflugerville,TX,30.439,-97.62
Cheyenne,WY,41.14,-104.82
Idaho Falls,ID,43.491,-112.039
North Little Rock,AR,34.769,-92.267
Laguna Niguel,CA,33.527,-117.713
Burnsville,MN,44.766,-93.278
San Clemente,CA,33.428,-117.613
Brentwood,CA,37.933,-121.695
Eden Prairie,MN,44.854,-93.47
Bellevue,NE,41.143,-95.911
Conway,AR,35.089,-92.441
West Hartford,CT,41.771,-72.751
Greenwood,IN,39.614,-86.11
Lakewood,WA,47.172,-122.518
Coon Rapids,MN,45.146,-93.285
Ocala,FL,29.187,-82.136
Greenwich,CT,41.076,-73.644
Taylor,MI,42.241,-83.27
Hamilton,OH,39.399,-84.56
Millcreek,UT,40.687,-111.863
North Bergen,NJ,40.805,-74.021
Dearborn Heights,MI,42.334,-83.273
Brookline,MA,42.316,-71.15
La Habra,CA,33.932,-117.946
Santa Cruz,CA,36.974,-122.026
Council Bluffs,IA,41.261,-95.85
Moore,OK,35.338,-97.487
Bossier City,LA,32.521,-93.737
Montebello,CA,34.01,-118.108
Porterville,CA,36.065,-119.016
Port Orange,FL,29.143,-80.993
Rowlett,TX,32.905,-96.569
Commerce City,CO,39.806,-104.932
Revere,MA,42.41,-71.012
Pico Rivera,CA,33.983,-118.097
Encinitas,CA,33.037,-117.292
Chapel Hill,NC,35.913,-79.056
Springfield,OR,44.046,-123.022
Hendersonville,TN,36.305,-86.62
Wellington,FL,26.667,-80.257
Pontiac,MI,42.639,-83.293
Fairfield,CT,41.175,-73.274
Huntersville,NC,35.411,-80.841
San Rafael,CA,37.973,-122.527
Plymouth,MA,41.873,-70.611
Irvington,NJ,40.722,-74.234
Hamden,CT,41.425,-72.915
La Mesa,CA,32.765,-117.02
Monterey Park,CA,34.063,-118.123
Sanford,FL,28.812,-81.268
Jupiter,FL,26.934,-80.094
Euless,TX,32.837,-97.083
Woodland,CA,38.677,-121.773
Gardena,CA,33.882,-118.309
Marietta,GA,33.953,-84.55
Meriden,CT,41.538,-72.784
Bristol,CT,41.681,-72.94
Piscataway,NJ,40.543,-74.466
Vineland,NJ,39.486,-75.026
Des Plaines,IL,42.042,-87.886
Richland,WA,46.275,-119.274
Taylorsville,UT,40.664,-111.939
Great Falls,MT,47.505,-111.303
Hoboken,NJ,40.742,-74.032
Cupertino,CA,37.318,-122.03
West Allis,WI,43.017,-88.007
North Miami,FL,25.89,-80.186
Owensboro,KY,37.774,-87.111
Youngstown,OH,41.1,-80.649
Santee,CA,32.839,-116.984
Caldwell,ID,43.666,-116.687
Corvallis,OR,44.564,-123.262
Petaluma,CA,38.233,-122.639
Union,NJ,40.701,-74.263
Manchester,CT,41.776,-72.53
Dubuque,IA,42.5,-90.667
Medford,MA,42.418,-71.11
Kokomo,IN,40.487,-86.131
White Plains,NY,41.034,-73.763
Gilroy,CA,37.004,-121.568
Queen Creek,AZ,33.249,-111.634
Taunton,MA,41.902,-71.093
Leander,TX,30.579,-97.853
Stonecrest,GA,33.706,-84.17
Palm Beach Gardens,FL,26.82,-80.118
Hempstead,NY,40.709,-73.625
Grand Forks,ND,47.924,-97.031
Casper,WY,42.85,-106.325
St Cloud,FL,28.246,-81.292
St Clair Shores,MI,42.496,-82.889
Apex,NC,35.732,-78.85
Margate,FL,26.244,-80.207
Orland Park,IL,41.616,-87.853
Springfield,OH,39.925,-83.808
Carson City,NV,39.164,-119.767
Shoreline,WA,47.756,-122.346
Blue Springs,MO,39.018,-94.278
Jackson,NJ,40.097,-74.373
Parker,CO,39.518,-104.761
Midwest City,OK,35.45,-97.406
Terre Haute,IN,39.466,-87.414
Oak Lawn,IL,41.719,-87.749
Bowie,MD,38.978,-76.742
Royal Oak,MI,42.49,-83.144
Maricopa,AZ,33.057,-112.048
Lancaster,PA,40.038,-76.306
Hanford,CA,36.328,-119.646
Decatur,AL,34.604,-86.985
Kettering,OH,39.69,-84.169
Coconut Creek,FL,26.252,-80.177
Bartlett,TN,35.204,-89.869
St Peters,MO,38.785,-90.602
Wylie,TX,33.014,-96.539
Weymouth,MA,42.218,-70.937
Lenexa,KS,38.957,-94.728
Burlington,NC,36.094,-79.436
Berwyn,IL,41.851,-87.793
Lake Havasu City,AZ,34.477,-114.338
Fountain Valley,CA,33.709,-117.954
Highland,CA,34.128,-117.209
Madison,AL,34.677,-86.752
Mount Prospect,IL,42.066,-87.937
Arcadia,CA,34.136,-118.041
Albany,OR,44.635,-123.104
Apple Valley,MN,44.732,-93.218
Pocatello,ID,42.862,-112.451
National City,CA,32.676,-117.098
Parsippany-Troy Hills,NJ,40.865,-74.397
DeSoto,TX,32.59,-96.857
Port Arthur,TX,29.871,-93.936
Tinley Park,IL,41.575,-87.784
Bradenton,FL,27.495,-82.571
Ypsilanti,MI,42.2,-83.614
Smyrna,GA,33.886,-84.516
Olympia,WA,47.043,-122.9
West Haven,CT,41.275,-72.96
Chicopee,MA,42.145,-72.609
Kingsport,TN,36.547,-82.56
Perth Amboy,NJ,40.506,-74.266
Valdosta,GA,30.832,-83.279
New Brunswick,NJ,40.496,-74.446
Brookhaven,GA,33.861,-84.33
Herriman,UT,40.514,-112.033
Diamond Bar,CA,34.029,-117.811
Huntington Park,CA,33.982,-118.225
Apopka,FL,28.672,-81.511
Sarasota,FL,27.336,-82.532
Wayne,NJ,40.948,-74.241
Anderson,IN,40.105,-85.678
Southaven,MS,34.984,-90.016
Coeur dAlene,ID,47.674,-116.784
Plainfield,NJ,40.619,-74.421
Oak Park,IL,41.887,-87.785
Yucaipa,CA,34.034,-117.041
Tigard,OR,45.431,-122.771
Peabody,MA,42.526,-70.927
Rocky Mount,NC,35.942,-77.795
Pensacola,FL,30.409,-87.214
Kentwood,MI,42.869,-85.645
Bentonville,AR,36.372,-94.209
Manhattan,KS,39.186,-96.576
Georgetown,MI,42.907,-85.834
Wheaton,IL,41.867,-88.106
Elkhart,IN,41.685,-85.974
West Sacramento,CA,38.58,-121.531
Colton,CA,34.074,-117.314
San Jacinto,CA,33.787,-116.959
Minnetonka,MN,44.914,-93.503
Paramount,CA,33.889,-118.16
Galveston,TX,29.305,-94.794
Casa Grande,AZ,32.879,-111.757
Bonita Springs,FL,26.346,-81.779
Howell,NJ,40.162,-74.206
Lacey,WA,47.038,-122.829
Edina,MN,44.89,-93.35
Bozeman,MT,45.679,-111.037
Novato,CA,38.108,-122.57
Grand Island,NE,40.924,-98.339
Kannapolis,NC,35.489,-80.628
Bloomfield,NJ,40.793,-74.191
Pinellas Park,FL,27.839,-82.7
Smyrna,TN,35.982,-86.52
